统一策略ID,策略代码,策略名称,渠道,投顾机构,原披露风险等级,测算风险等级,风险基础分类,权益风险档,波动风险档,回撤风险档,风险触发指标,风险测算缺失项,权益基金权重,债券基金权重,货币基金权重,混合基金权重,指数基金权重,QDII权重,波动率,最大回撤,主可比池,业务主分类,业务组合分类,业务分类标签,市场地域,数据完整性,基础数据等级,运作状态,最新业绩日期,收益数据截至,是否广发相关,是否天天策略,天天当前对客展示,天天对客展示标记,天天展示状态,天天展示分层,天天展示判定依据
ttfund__ZTYYYUC,ZTYYYUC,大方向平稳小目标01期,天天基金/投顾,国联证券-国联投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.5154,1.2395,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__BLTOWCU,BLTOWCU,华安懒人投,天天基金/投顾,华安基金-华安投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__8SYLZES,8SYLZES,华安乐享攒,天天基金/投顾,华安基金-华安投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__FD7GQY0,FD7GQY0,华安小盈加01期,天天基金/投顾,华安基金-华安投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.2313,2.4951,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__DE8F0ZA,DE8F0ZA,华泰柏瑞小幸运第3期投顾服务,天天基金/投顾,华泰柏瑞睿智投,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,原始状态2,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__FWOAMML,FWOAMML,建信小幸运目标盈第3期投顾服务,天天基金/投顾,建信基金-建信投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.094,0.866,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__LGB93LO,LGB93LO,交银全明星双周投,天天基金/投顾,交银施罗德基金-交银投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__EICXLBD,EICXLBD,零钱快乐攒,天天基金/投顾,华安基金-华安投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__U6FTIIZ,U6FTIIZ,民生加银智投小赢家01期,天天基金/投顾,民生加银基金投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.998,3.6877,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__AXTL7IZ,AXTL7IZ,民生加银智投小赢家02期,天天基金/投顾,民生加银基金投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.7704,3.774,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__UYMHJYY,UYMHJYY,民生加银智投小赢家03期,天天基金/投顾,民生加银基金投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.6912,2.7572,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__TIESYMH,TIESYMH,南方小目标第10期投顾服务,天天基金/投顾,南方基金-司南投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1485,3.3638,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__OUVWUGA,OUVWUGA,南方小目标第11期投顾服务,天天基金/投顾,南方基金-司南投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1899,3.3693,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__171E5C9,171E5C9,南方小目标第12期投顾服务,天天基金/投顾,南方基金-司南投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1919,3.3536,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__L02SPBZ,L02SPBZ,鹏华周周盈,天天基金/投顾,鹏华基金-鹏华智投,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__KOY1T0A,KOY1T0A,启明星理财升级目标盈 01 期,天天基金/投顾,富国基金-富国星投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.8557,3.3639,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__94D01XL,94D01XL,启明星理财升级目标盈 02 期,天天基金/投顾,富国基金-富国星投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.8159,3.4377,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
